Repo ID,Repo URL,Repo Name,Repo Rating,Repo Rank
121539858,https://github.com/NVIDIA/FastPhotoStyle,NVIDIA/FastPhotoStyle,10526,1305
74386167,https://github.com/vimeo/psalm,vimeo/psalm,4051,4305
42956467,https://github.com/herrbischoff/awesome-macos-command-line,herrbischoff/awesome-macos-command-line,25012,305
780266,https://github.com/Leonidas-from-XIV/node-xml2js,Leonidas-from-XIV/node-xml2js,4226,4105
83523036,https://github.com/Meituan-Dianping/SQLAdvisor,Meituan-Dianping/SQLAdvisor,4587,3703
1787090,https://github.com/jigish/slate,jigish/slate,7546,2006
14128006,https://github.com/hashicorp/raft,hashicorp/raft,4486,3806
41676006,https://github.com/erikras/ducks-modular-redux,erikras/ducks-modular-redux,9006,1604
27029984,https://github.com/Geal/nom,Geal/nom,5045,3304
19205896,https://github.com/restic/restic,restic/restic,12433,1006
15057216,https://github.com/etsy/AndroidStaggeredGrid,etsy/AndroidStaggeredGrid,4797,3505
22442668,https://github.com/openshift/origin,openshift/origin,7862,1906
13257135,https://github.com/hashicorp/serf,hashicorp/serf,5155,3204
13847975,https://github.com/gfx-rs/gfx,gfx-rs/gfx,4699,3605
21306961,https://github.com/fsnotify/fsnotify,fsnotify/fsnotify,5423,3006
2994517,https://github.com/i18next/i18next,i18next/i18next,5556,2906
843222,https://github.com/scikit-learn/scikit-learn,scikit-learn/scikit-learn,45415,106
19094829,https://github.com/xhzengAIB/MessageDisplayKit,xhzengAIB/MessageDisplayKit,4303,4005
1464380,https://github.com/haraka/Haraka,haraka/Haraka,3880,4506
51071818,https://github.com/so-fancy/diff-so-fancy,so-fancy/diff-so-fancy,14293,806
46918116,https://github.com/microsoft/CNTK,microsoft/CNTK,16987,606
9330072,https://github.com/fogleman/Craft,fogleman/Craft,8540,1706
12025365,https://github.com/toddmotto/echo,toddmotto/echo,3753,4705
86585573,https://github.com/alibaba/Tangram-Android,alibaba/Tangram-Android,3963,4406
39316027,https://github.com/ReactTraining/history,ReactTraining/history,6928,2205
5664897,https://github.com/bup/bup,bup/bup,6471,2406
191820100,https://github.com/google/mediapipe,google/mediapipe,11675,1105
60493101,https://github.com/jwasham/coding-interview-university,jwasham/coding-interview-university,162665,6
78880128,https://github.com/ohld/igbot,ohld/igbot,3878,4507
12827225,https://github.com/ealeksandrov/EAIntroView,ealeksandrov/EAIntroView,3752,4707
1272666,https://github.com/jshint/jshint,jshint/jshint,8537,1707
73115219,https://github.com/googleworkspace/md2googleslides,googleworkspace/md2googleslides,3962,4407
56734422,https://github.com/ro31337/libretaxi,ro31337/libretaxi,3624,4904
14046563,https://github.com/Bearded-Hen/Android-Bootstrap,Bearded-Hen/Android-Bootstrap,7209,2106
17369361,https://github.com/jbogard/MediatR,jbogard/MediatR,6250,2507
42304749,https://github.com/apache/shardingsphere-elasticjob,apache/shardingsphere-elasticjob,6928,2205
41780199,https://github.com/Alamofire/AlamofireImage,Alamofire/AlamofireImage,3689,4808
26784827,https://github.com/dotnet/core,dotnet/core,15561,706
155636246,https://github.com/jantic/DeOldify,jantic/DeOldify,13279,906
7053637,https://github.com/python/mypy,python/mypy,10513,1306
34096,https://github.com/leachim6/hello-world,leachim6/hello-world,6470,2407
63477612,https://github.com/TheAlgorithms/C-Plus-Plus,TheAlgorithms/C-Plus-Plus,11672,1107
1843047,https://github.com/spring-projects/spring-mvc-showcase,spring-projects/spring-mvc-showcase,4909,3405
17098587,https://github.com/dariusk/corpora,dariusk/corpora,4050,4306
55886798,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,21715,405
10282042,https://github.com/HaxeFoundation/haxe,HaxeFoundation/haxe,4225,4107
54664770,https://github.com/facebook/redex,facebook/redex,5291,3106
21737465,https://github.com/sindresorhus/awesome,sindresorhus/awesome,157905,7
1238771,https://github.com/kriswallsmith/assetic,kriswallsmith/assetic,3804,4604
869754,https://github.com/go-lang-plugin-org/go-lang-idea-plugin,go-lang-plugin-org/go-lang-idea-plugin,4586,3707
20702627,https://github.com/iron/iron,iron/iron,5892,2706
11726680,https://github.com/h5bp/server-configs-nginx,h5bp/server-configs-nginx,9003,1606
10697582,https://github.com/jscs-dev/node-jscs,jscs-dev/node-jscs,5043,3307
18486300,https://github.com/lewagon/setup,lewagon/setup,9422,1506
15279980,https://github.com/Qihoo360/Atlas,Qihoo360/Atlas,4485,3807
3674459,https://github.com/igorescobar/jQuery-Mask-Plugin,igorescobar/jQuery-Mask-Plugin,4389,3905
27764811,https://github.com/rey5137/material,rey5137/material,6064,2606
22539592,https://github.com/ctrlpvim/ctrlp.vim,ctrlpvim/ctrlp.vim,4796,3507
59101986,https://github.com/smallnest/rpcx,smallnest/rpcx,5556,2906
2255947,https://github.com/cytoscape/cytoscape.js,cytoscape/cytoscape.js,7528,2007
17517521,https://github.com/auth0/java-jwt,auth0/java-jwt,4139,4205
1554093,https://github.com/mbadolato/iTerm2-Color-Schemes,mbadolato/iTerm2-Color-Schemes,19432,506
35015575,https://github.com/webtorrent/webtorrent-desktop,webtorrent/webtorrent-desktop,8185,1806
145670234,https://github.com/open-mmlab/mmdetection,open-mmlab/mmdetection,14293,806
43330374,https://github.com/xmartlabs/Eureka,xmartlabs/Eureka,11093,1206
10873724,https://github.com/joelittlejohn/jsonschema2pojo,joelittlejohn/jsonschema2pojo,5423,3006
64991887,https://github.com/microsoft/LightGBM,microsoft/LightGBM,12427,1007
18611173,https://github.com/julianshapiro/velocity,julianshapiro/velocity,16980,607
3199002,https://github.com/raspberrypi/linux,raspberrypi/linux,7855,1907
20549706,https://github.com/qor/qor,qor/qor,4698,3606
119760423,https://github.com/Netflix/fast_jsonapi,Netflix/fast_jsonapi,5155,3204
1864363,https://github.com/composer/composer,composer/composer,25006,306
12779699,https://github.com/thx/RAP,thx/RAP,10511,1307
17065530,https://github.com/facebook/chisel,facebook/chisel,8524,1708
24993138,https://github.com/google/brotli,google/brotli,9915,1406
39537103,https://github.com/pinterest/PINRemoteImage,pinterest/PINRemoteImage,3878,4507
3482588,https://github.com/danielmiessler/SecLists,danielmiessler/SecLists,30987,206
37953959,https://github.com/angular/universal,angular/universal,3751,4708
35394510,https://github.com/docker/docker-bench-security,docker/docker-bench-security,6701,2305
90411188,https://github.com/Azure/draft,Azure/draft,3962,4407
20940824,https://github.com/robb/Cartography,robb/Cartography,7209,2106
48378947,https://github.com/fatedier/frp,fatedier/frp,44566,107
13419223,https://github.com/lutris/lutris,lutris/lutris,4302,4007
56459948,https://github.com/GoogleCloudPlatform/training-data-analyst,GoogleCloudPlatform/training-data-analyst,4907,3406
1195004,https://github.com/angular/angular-seed,angular/angular-seed,13274,907
124470321,https://github.com/uber/baseweb,uber/baseweb,6248,2508
75388965,https://github.com/AlexeyAB/darknet,AlexeyAB/darknet,15546,707
29900673,https://github.com/phanan/htaccess,phanan/htaccess,11664,1108
147386085,https://github.com/udacity/deep-learning-v2-pytorch,udacity/deep-learning-v2-pytorch,4050,4306
21882528,https://github.com/overtrue/pinyin,overtrue/pinyin,3623,4907
74494679,https://github.com/jgthms/css-reference,jgthms/css-reference,4224,4108
109484365,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,fengdu78/Coursera-ML-AndrewNg-Notes,21662,406
1462,https://github.com/ctran/annotate_models,ctran/annotate_models,3688,4809
45717250,https://github.com/tensorflow/tensorflow,tensorflow/tensorflow,154898,8
44896762,https://github.com/ChenYilong/CYLTabBarController,ChenYilong/CYLTabBarController,6469,2408
1376101,https://github.com/cjdelisle/cjdns,cjdelisle/cjdns,4585,3708
13761875,https://github.com/greatghoul/remote-working,greatghoul/remote-working,6927,2208
32012751,https://github.com/kean/Nuke,kean/Nuke,5889,2707
78566876,https://github.com/prettier/prettier-vscode,prettier/prettier-vscode,3804,4604
2587583,https://github.com/lokesh/lightbox2,lokesh/lightbox2,5284,3107
7191565,https://github.com/guillaumepotier/Parsley.js,guillaumepotier/Parsley.js,8994,1607
865250,https://github.com/presidentbeef/brakeman,presidentbeef/brakeman,6059,2607
82682940,https://github.com/chenshenhai/koa2-note,chenshenhai/koa2-note,4481,3808
481366,https://github.com/nvie/gitflow,nvie/gitflow,24921,307
2310615,https://github.com/davatron5000/FitVids.js,davatron5000/FitVids.js,4796,3507
15813955,https://github.com/vigetlabs/blendid,vigetlabs/blendid,5041,3308
3022431,https://github.com/addyosmani/backbone-fundamentals,addyosmani/backbone-fundamentals,9421,1507
766625,https://github.com/tj/ejs,tj/ejs,4389,3905
16907502,https://github.com/fatih/color,fatih/color,4139,4205
17812502,https://github.com/square/okio,square/okio,7515,2008
190636955,https://github.com/Dimillian/MovieSwiftUI,Dimillian/MovieSwiftUI,5554,2908
32538871,https://github.com/google/gson,google/gson,19416,507
33653601,https://github.com/jupyter/notebook,jupyter/notebook,8180,1807
53783664,https://github.com/easychen/howto-make-more-money,easychen/howto-make-more-money,14285,808
